Wall time,Step,Value
1562147307.4265144,643610,0.96875
1562147344.4929364,646106,0.984375
1562147353.9981828,646746,0.96875
1562147362.539243,647322,0.96875
1562147383.445024,648730,0.96875
1562147392.927259,649370,0.953125
1562147407.1980457,650330,0.984375
1562147440.4208076,652570,0.984375
1562147456.5727928,653658,0.984375
1562147465.1143003,654234,0.953125
1562147631.1317909,658053,0.96875
1562147636.8606489,658437,0.953125
1562147655.8097532,659717,0.96875
1562147668.1243906,660549,0.984375
1562147702.3043072,662853,0.984375
1562147705.1842082,663045,0.96875
1562147722.3371706,664197,0.9375
1562147747.0626378,665861,0.953125
1562147815.4677758,670469,0.953125
1562147824.9472272,671109,0.921875
1562147853.3967962,673029,0.984375
1562147863.8336196,673733,0.96875
1562147871.4437962,674245,0.9375
1562147879.0542612,674757,0.9375
1562147882.8531477,675013,0.890625
1562147895.2120924,675845,0.984375
1562147908.505037,676741,0.921875
1562147993.0750518,682437,0.984375
1562148003.5494869,683141,0.96875
1562148037.7560072,685445,0.90625
1562148066.23723,687365,0.96875
1562148068.13487,687493,0.9375
1562148106.160037,690053,0.953125
1562148111.858362,690437,0.96875
1562148143.1468394,692549,0.984375
1562148155.5064514,693381,0.96875
1562148160.2649052,693701,0.9375
1562148190.6866758,695749,1.0
1562148200.181841,696389,0.921875
1562148231.5163627,698501,0.953125
1562148232.4689333,698565,1.0
1562148371.2053976,700592,0.953125
1562148386.521472,701616,0.984375
1562148388.4221249,701744,1.0
1562148404.5691562,702832,0.953125
1562148420.6963692,703920,0.984375
1562148422.5911412,704048,0.984375
1562148444.374115,705520,1.0
1562148446.271007,705648,0.90625
1562148469.0741644,707184,0.96875
1562148470.0292468,707248,0.953125
1562148511.9324431,710064,0.984375
1562148512.8843338,710128,0.96875
1562148537.6064117,711792,0.96875
1562148578.4839752,714544,0.96875
1562148579.4271035,714608,0.921875
1562148582.2850606,714800,1.0
1562148605.0892222,716336,0.953125
1562148607.946446,716528,0.96875
1562148630.74976,718064,0.953125
1562148640.2647865,718704,0.953125
1562148666.008681,720432,1.0
1562148727.8300364,724592,0.96875
1562148762.04041,726896,1.0
1562148781.038467,728176,0.96875
1562148803.845844,729712,0.984375
1562148869.4466305,734128,0.96875
1562148881.8273683,734960,0.96875
1562148969.2285266,740848,0.984375
1562148971.119754,740976,0.96875
1562148973.9685454,741168,0.921875
1562148983.4655015,741808,1.0
1562148993.909551,742512,0.9375
1562149136.0608644,744731,0.953125
1562149150.388732,745691,1.0
1562149152.2987413,745819,0.984375
1562149161.8011923,746459,0.96875
1562149195.934745,748763,0.984375
1562149249.1840005,752347,0.921875
1562149277.74318,754267,0.953125
1562149299.657197,755739,0.953125
1562149362.3829093,759963,0.953125
1562149366.2114458,760219,0.984375
1562149402.348667,762651,0.96875
1562149420.4247131,763867,0.96875
1562149466.9820824,767003,0.984375
1562149548.7041812,772507,0.96875
1562149557.270035,773083,0.953125
1562149605.8169072,776347,0.984375
1562149636.2148163,778395,0.9375
1562149647.6122541,779163,0.9375
1562149712.2202005,783515,0.953125
1562149729.3868687,784667,0.984375
1562149730.3320525,784731,0.96875
1562149746.472978,785819,0.96875
1562149751.226256,786139,0.953125
1562150352.926263,787206,0.96875
1562150418.0430143,791558,1.0
1562150436.2428226,792774,0.984375
1562150454.559632,793990,0.96875
1562150506.5658891,797382,0.96875
1562150523.5594163,798470,0.984375
1562150536.6612654,799302,0.984375
1562150568.8156223,801350,1.0
1562150584.9340868,802374,0.953125
1562150622.283103,804742,0.96875
1562150629.5770586,805190,0.984375
1562150636.719712,805638,0.96875
1562150647.864082,806342,0.9375
1562150648.812204,806406,1.0
1562150702.0466058,809862,0.96875
1562150711.906039,810502,0.921875
1562150718.7710223,810950,0.96875
1562150719.7375894,811014,0.984375
1562150802.3955235,816454,0.9375
